item	index
线性代数	157
深度学习框架	158
情感分析	159
机器翻译	160
强化学习	161
无监督学习	162
生成对抗网络	163
数据科学	164
人工智能伦理	165
迁移学习	166
多模态学习	167
人工智能多领域应用	168
信息安全基础	169
防火墙	170
入侵检测与防御	171
网络协议分析	172
加密与解密	173
对称加密	174
非对称加密	175
哈希算法	176
访问控制	177
身份验证	178
授权管理	179
访问审计	180
恶意软件防范	181
病毒防护与清除	182
蠕虫防护与清除	183
木马防护与清除	184
计算机体系结构	185
操作系统 	186
网络协议	187
安全编程	188
安全策略与管理	189
高级密码学	190
区块链安全	191
深度学习安全	192
安全分析	193
安全工程	194
安全顾问	195
信息安全	196
隐私保护	197
图论及其应用	198
图论基本概念	199
邻接矩阵	200
邻接表	201
图算法	202
深度优先搜索	203
广度优先搜索	204
Dijkstra算法	205
Prim算法	206
网络流算法	207
最短路径算法	208
最小生成树算法	209
网络设计	210
集合论	211
逻辑	212
数论	213
图数据库技术	214
复杂网络分析方法	215
大规模网络数据处理	216
算法设计与分析	217
图神经网络	218
社交网络分析	219
推荐系统	220
并行计算	221
算法优化	222
网络攻防分析	223
网络拓扑结构	224
多媒体技术原理	225
数字图像处理算法	226
数字图像处理	227
音频数字信号处理	228
视频编码与解码技术	229
多媒体数据压缩算法	230
多媒体通信协议与标准	231
图像压缩	232
计算机组成原理	233
信号处理	234
大数据处理	235
多媒体分析	236
虚拟现实	237
增强现实	238
人机交互设计	239
用户体验	240
用户界面设计	241
流媒体技术	242
云端多媒体服务	243
计算机图形学	244
多媒体系统架构	245
多媒体安全	246
数字水印技术	247
三维图形渲染技术	248
3D打印	249
IoT	250
多媒体软件	251
互联网音视频平台工程师	252
用户体验设计	253
多媒体应用开发	254
大数据算法	255
分布式计算模型	256
MapReduce	257
数据预处理技术	258
大规模数据存储与管理	259
数据挖掘算法	260
机器学习算法	261
深度学习原理与应用	262
数据结构与算法	263
统计学基础	264
大数据处理框架	265
Hadoop	266
Spark	267
数据库管理系统	268
Hive	269
HBase	270
数据可视化工具	271
并行计算技术	272
深度学习算法	273
图像识别	274
Docker	275
Kubernetes	276
云计算平台	277
分布式系统设计	278
大数据云服务	279
操作系统	280
进程管理	281
进程	282
线程	283
调度算法	284
同步于互斥	285
虚拟内存	286
页面置换算法	287
内存分配与回收	288
文件系统	289
文件组织	290
存储管理	291
设备管理	292
I/O系统	293
设备驱动	294
中断处理	295
C/C++语言	296
汇编语言	297
系统调试	298
高性能计算	299
操作系统内核开发	300
操作系统的设计、维护与优化	301
操作系统安全原理	302
大规模系统架构	303
操作系统实验	304
操作系统课程设计	305
数字图像处理技术	306
图像表示	307
图像获取	308
预处理	309
图像增强	310
空间域	311
频域	312
图像滤波	313
图像复原	314
彩色图像处理	315
图像分割	316
编解码	317
模式识别	318
数学分析	319
信号	320
系统	321
图像处理软件	322
图像处理单元	323
神经网洛	324
医学图像处理	325
遥感图像处理	326
图像处理算法	327
计算机视觉系统	328
医学影像分析	329
数字图像处理技术实验	330
数据库系统	331
数据	332
数据模型	333
表结构设计	334
关系模型	335
范式理论	336
ER图	337
数据库优化	338
数据仓库设计	339
数据安全	340
加密	341
数据库维护	342
统计学	343
云数据库服务	344
NoSQL数据库	345
分布式数据库系统	346
数据库化自动	347
数据库系统实验	348
数据库课程设计	349
分类与回归算法	350
聚类算法	351
K均值	352
层次聚类	353
关联规则挖掘	354
特征选择	355
降维技术	356
数据预处理	357
清洗方法	358
时间序列分析	359
文本挖掘	360
数据库系统原理	361
数据可视化	362
实际项目经验	363
神经网络	364
大数据技术	365
大数据工程	366
金融分析	367
数据挖掘实验	368
数据清理	369
探索性数据分析	370
预处理技术	371
模型构建	372
模型评估	373
解释模型结果	374
算法基础	375
数据库系统基础	376
知识图谱	377
图数据挖掘	378
数据隐私	379
安全保护	380
业务智能分析	381
数组	382
链表	383
栈	384
堆	385
队列	386
树	387
二叉树	388
平衡树	389
哈夫曼树	390
图	391
图的遍历	392
遍历算法	393
冒泡排序	394
快速排序	395
归并排序	396
堆排序	397
表排序	398
桶排序	399
查找算法	400
二分查找	401
散列表	402
算法分析	403
时间复杂度	404
空间复杂度	405
并发编程	406
多线程	407
并发数据结构	408
高级算法	409
动态规划	410
贪心算法	411
红黑树	412
B树	413
哈希表	414
系统开发	415
数据结构实验	416
数据结构课程设计	417
监督学习	418
半监督学习	419
线性回归	420
特征工程	421
选择方法	422
神经网络架构	423
解释机器学习模型方法	424
卷积神经网络	425
循环神经网络	426
概率统计A1	427
概率空间	428
条件概率	429
随机变量与分布	430
期望	431
方差	432
大数定律	433
中心极限定理	434
假设检验	435
统计推断	436
参数估计	437
方差分析	438
回归分析	439
MATLAB	440
Python	441
统计软件使用	442
R	443
SPSS	444
SAS	445
概率模型	446
贝叶斯统计	447
大数据分析	448
数理统计	449
基本统计学	450
微积分	451
量化分析	452
统计建模	453
决策分析	454
风险分析	455
数据驱动决策	456
毕业实习	457
项目开发流程和方法论	458
版本控制工具的使用	459
软件工程实践	460
需求分析	461
系统设计	462
编码	463
软件测试	464
持续集成	465
持续部署	466
进度管理	467
资源管理	468
团队协作技巧	469
数据库管理	470
敏捷开发	471
微服务架构	472
区块链	473
软件开发	474
软件系统开发	475
软件架构	476
系统架构	477
毕业教育	478
软件工程	479
质量保障与测试。	480
软件需求分析	481
软件设计	482
编码规范	483
软件维护	484
软件开发生命周期	485
职业规划	486
个人品牌建设	487
软件工程师	488
开发工程师	489
项目经理	490
团队领导	491
质量保障工程师	492
技术顾问	493
解决方案架构师	494
毕业论文（设计）	495
深度了解论文选题所涉及的软件工程领域	496
系统性的文献综述	497
相关工作分析	498
确立研究方法	499
确立实验设计	500
结果解释	501
提出解决方案或对问题的深刻见解	502
科研方法论	503
文献调研技巧	504
统计基础	505
文献检索	506
论文写作能力	507
演讲技能	508
研发工程	509
电路与电子技术	510
电路理论	511
电子技术基本原理	512
电子元器件	513
电路设计与分析	514
模拟电路	515
数字电路	516
信号与系统	517
电磁场与波动	518
电路性能优化	519
放大器	520
滤波器	521
振荡器	522
微处理器	523
嵌入式系统	524
代数	525
电磁学	526
波动理论	527
PCB设计与布局	528
焊接技术	529
集成电路微电子器件	530
电测兼容性	531
电磁干扰的控制	532
电子设计自动化	533
封装技术	534
数字信号处理	535
通信系统设计	536
无线通信	537
射频电子学	538
微电子工程	539
电路设计工程	540
电子产品的制造与测试	541
硬件软件协同设计	542
电路与电子技术实验	543
图论	544
逻辑与命题演算	545
谓词演算	546
关系代数	547
布尔代数	548
离散概率论	549
计数原理	550
模运算	551
代数系统	552
图的便利与最短路径	553
离散结构的应用	554
高等代数	555
基础逻辑思维能力	556
密码学	557
网络算法设计	558
理论计算机科学	559
算法复杂性理论	560
形式化方法	561
计算理论	562
数学建模	563
模型论	564
递归论	565
移动互联网技术及其应用	566
移动互联网体系结构	567
移动互联网协议	568
移动网络通信	569
移动平台特性	570
移动应用性能优化	571
移动应用开发技术	572
移动前端与后端开发	573
移动设备传感器应用	574
移动互联网安全与隐私保护	575
编程能力	576
Web开发基础	577
移动开发框架	578
移动开发工具	579
跨平台移动开发技术	580
云计算与移动互联网融合技术	581
应用界面	582
交互设计	583
移动互联网在行业中的嵌入与应用	584
移动产品经理	585
移动互联网安全	586
算法分析与设计	587
分治算法	588
递归	589
字符串匹配算法	590
NP完全性理论	591
并行算法	592
分布式算法	593
算法工程	594
算法分析与设计实验	595
算法分析与设计课程设计	596
线性代数A1	597
向量	598
矩阵	599
逆矩阵	600
行列式	601
线性方程组	602
特征值	603
特征向量	604
矢量空间	605
线性变换	606
平面几何	607
空间几何	608
三角	609
极限	610
导数	611
积分	612
数据降维	613
线性空间	614
高级线性代数	615
数值线性代数	616
最优化理论	617
神经网络模型	618
图形处理	619
图像变换	620
数据处理	621
编译原理	622
词语分析	623
语法分析	624
正则表达式	625
有限自动机	626
上下文无关文法	627
语义分析	628
符号表	629
类型检查	630
中间代码生产	631
抽象语法树	632
三地址码	633
常量传播	634
数据流分析	635
优化技术	636
指令调度	637
寄存器分配	638
目标代码生成与解释执行	639
JIT编译	640
即时编译	641
领域特定语言设计	642
程序分析	643
验证技术	644
静态代码分析	645
动态代码分析	646
模型检测	647
编译器开发	648
编译器优化	649
系统软件	650
操作系统开发	651
数据库系统开发	652
	653
虚拟机系统	654
编译原理实验	655
编译原理课程设计	656
图形学基础理论	657
几何学	658
代数学	659
三维建模与投影	660
光照模型	661
着色技术	662
图形渲染算法	663
流水线	664
光照与阴影算法	665
光栅化算法	666
深度缓冲	667
光线追踪	668
着色器语音	669
图形学中的数学变换	670
图形编程接口	671
动画技术	672
图形学框架	673
图形处理器编程	674
图像处理与识别	675
游戏引擎的开发与优化	676
游戏开发与设计	677
计算机辅助设计	678
计算机硬件系统的组成与工作原理	679
数组逻辑	680
组合逻辑	681
时序逻辑	682
存储器层次结构	683
指令执行过程	684
中央处理器结构	685
指令集体系结构（ISA）	686
寄存器传送语言（RTL）设计	687
流水线技术	688
存储系统设计	689
总线结构	690
计算机组成与结构基础	691
数字电路与逻辑设计	692
微处理器基础	693
高等数学	694
嵌入式系统设计	695
硬件描述语言	696
系统级设计	697
多核处理器架构	698
量子计算	699
光计算	700
芯片设计	701
云计算体系结构	702
物联网系统设计	703
硬件加速器设计	704
硬件与软件协同设计	705
云原生架构	706
物联网技术	707
计算机组成原理实验	708
计算机综合课程设计	709
规格说明	710
系统架构设计	711
模块划分	712
程序设计与编码	713
软件质量保障	714
软件、硬件协同开发	715
软件工程基本理论	716
软件开发的生命周期	717
开发工具	718
系统分析	719
容器化	720
移动端开发	721
系统用户友好性	722
软件安全	723
软件项目的开发与维护	724
大型系统的设计与优化	725
计算机网络	726
计算机网络基本概念	727
协议体系结构	728
传输层	729
应用层	730
互联网技术	731
OSI模型	732
路由与交换技术	733
网络传输与流控制	734
HTTP	735
SMTO	736
DNS	737
数据结构和算法	738
防火墙与入侵检测系统	739
软件定义网络（SDN）	740
系统管理	741
网络虚拟化	742
容器技术	743
区块链网络	744
网络性能优化	745
大规模网络管理	746
网络设置配备与管理	747
计算机网络实验	748
计算机网络课程设计	749
CAD软件的使用	750
三维建模	751
渲染技术	752
可视化技术	753
工程图学	754
制图标准	755
工程设计原理	756
制造工艺	757
材料选择	758
协同设计	759
常见办公软件使用	760
文件管理	761
图形学	762
模拟仿真	763
有限元分析	764
结构设计	765
结构分析	766
数字化制造	767
仿真分析	768
虚拟样机	769
仿真与优化	770
工业设计	771
工程制图	772
计算机辅助设计实验	773
设计模式	774
创建型设计模式	775
单例模式	776
工厂模式	777
抽象工厂模式	778
结构型设计模式	779
适配器模式	780
装饰器模式	781
代理模式	782
行为型设计模式	783
策略模式	784
观察者模式	785
命令模式	786
模板方法模式	787
责任链模式	788
状态模式	789
软件架构设计基本原则	790
软件开发流程	791
领域特定的设计模式	792
并发设计模式	793
分布式设计模式	794
微服务架构设计	795
反应式编程	796
函数编程	797
高级软件工程师	798
技术团队领导	799
软件工程概论与原理	800
软件项目管理与规划	801
软件需求分析与规格说明	802
软件设计与架构	803
编码与单元格测试	804
软件工程伦理与标准	805
软件生命周期	806
软件开发模型	807
需求工程	808
用例建模	809
软件设计模式	810
架构设计	811
代码质量管理	812
软件配置管理	813
软件开发过程	814
软件工程实验	815
软件工程课程设计	816
软件测试理论和方法	817
单元测试	818
集成测试	819
系统测试	820
验收测试	821
自动化测试	822
性能测试	823
软件测试理论和模型	824
V模型	825
瀑布模型	826
测试设计技术	827
等价类划分	828
边界值分析	829
自动化测试工具	830
缺陷管理和报告	831
质量保证	832
质量控制	833
持续交付	834
安全性测试	835
测试驱动开发	836
行为驱动开发	837
持续测试	838
软件质量工程师	839
测试工程师	840
敏捷测试	841
面向.NET的WEB应用程序设计	842
ASP.NET框架	843
ASP.NET MVC	844
ASP.NET Core	845
C#编程语言	846
ADO.NET的集成	847
后端开发	848
ASP.NET Web API	849
数据库设计与操作	850
SQL Server数据库	851
HTTP协议	852
Web服务器	853
前后端交互	854
前端框架	855
React	856
Angular	857
移动端开发技术	858
Xamarin	859
现代前端开发框架	860
系统拆分与部署	861
WEB应用程序开发	862
Web前端	863
移动应用程序开发	864
全栈工程师	865
面向.NET的WEB应用程序设计实验	866
面向对象程序设计	867
面向对象的基本概念与原则	868
UML建模	869
CRC卡	870
图形化设计	871
类	872
对象	873
继承	874
封装	875
多态	876
反模式	877
分层设计	878
类图设计	879
面向对象编程语言	880
UML建模语言	881
设计原则	882
对象关系映射	883
重构技术	884
领域驱动设计	885
函数式编程	886
高级软件工程	887
面向对象语言的框架与库开发者	888
面向对象程序设计实验	889
面向对象程序设计课程设计	890
高等数学A1（上）	891
微积分基础	892
连续性	893
微分	894
微分中值定理	895
积分与不定积分	896
微分方程初步	897
函数与方程	898
数列	899
数学归纳法	900
三角函数	901
三角恒等式	902
算法设计和分析	903
高等数学A1（下）	904
多元函数的极限	905
偏导数	906
方向导数	907
梯度	908
拉格朗日乘子法	909
全微分	910
多元函数的积分	911
二重函数	912
三重函数	913
曲线与曲面积分	914
不定积分	915
数值计算方法	916
优化算法	917
算法设计	918
大数据处理和分析	919
集群	920
负载均衡	921
分布式存储	922
分布式计算原理	923
互联网体系结构	924
虚拟机容器技术	925
虚拟化管理	926
资源调度	927
云计算平台与服务	928
IaaS	929
PaaS	930
SaaS	931
云服务的部署与管理	932
自动化运维	933
配置管理	934
自动化脚本	935
基础设施的代码化管理	936
安全与合规性	937
云安全架构	938
云安全服务	939
合规性标准与审计	940
大数据存储	941
分布式数据分析	942
分布式数据挖掘	943
容器编排	944
云架构	945
云基础设施设计与规划	946
云架构优化	947
云运维	948
云服务	949
云服务的部署、监控与维护	950
故障排除	951
云安全	952
云安全策略与标准	953
大数据应用的开发与部署	954
产品测试	955
软件测试基础	956
测试方法与策略	957
软件测试生命周期	958
质量管理体系	959
缺陷管理与跟踪	960
自动化测试工具使用	961
脚本编写	962
脚本维护	963
数据采集	964
统计质量指标	965
持续交付（CI/CD）	966
CI/CD流水线构建	967
部署自动化与监控	968
Scrum方法论	969
敏捷团队协作	970
Scrum项目管理	971
安全测试	972
漏洞分析	973
用户界面测试	974
用户体验设计原理	975
界面测试方法	976
软件测试工程师：	977
编写测试计划与用例	978
执行手动与自动测试	979
持续集成与交付工程师：	980
CI/CD流水线优化	981
安全漏洞扫描与测试	982
安全改进	983
用户体验测试	984
分析用户反馈	985
用户体验改进优化	986
产品运维	987
系统运维	988
操作系统管理	989
系统监控	990
网络基础	991
网络协议架构	992
网络设备配置与维护	993
数据备份	994
数据恢复	995
云服务使用与管理	996
自动化运维工具	997
Ansible	998
Puppet	999
自动化流程设计	1000
安全监控	1001
安全策略	1002
风险评估	1003
日志分析	1004
协同开发	1005
协同运维	1006
微服务	1007
微服务架构原理	1008
操作系统配置与维护	1009
服务器性能优化	1010
网络运维	1011
网络设备管理与维护	1012
网络故障排查	1013
云计算运维	1014
云服务架构	1015
资源监控	1016
成本控制	1017
神经网络训练	1018
语言模型	1019
文本处理	1020
目标检测	1021
强化学习原理与应用	1022
深度强化学习算法	1023
语音处理	1024
语音信号处理	1025
语音识别	1026
语音合成	1027
数据伦理与公平性	1028
人工智能伦理问题	1029
数据公平性与隐私保护	1030
分布式机器学习	1031
分布式模型训练与优化	1032
模型开发	1033
模型调优	1034
实际应用系统集成	1035
文本分析	1036
语义理解	1037
语言生成	1038
对话系统	1039
图像分析	1040
视觉感知算法开发	1041
复杂问题的解决方案设计	1042
组件化开发	1043
状态管理	1044
路由	1045
组件生命周期	1046
虚拟DOM	1047
单项数据流	1048
Web性能优化	1049
浏览器渲染过程	1050
优化策略	1051
资源压缩	1052
懒加载	1053
CDN使用	1054
前端性能监控	1055
媒体查询	1056
视口配置	1057
移动端适配	1058
弹性布局	1059
响应式设计	1060
分支管理	1061
代码合并	1062
远程仓库	1063
代码管理	1064
包管理工具	1065
依赖管理	1066
项目构建	1067
前端工程化	1068
模块化开发	1069
代码分割	1070
自动化构建	1071
用户界面	1072
界面设计	1073
交互体验	1074
前端工程师	1075
UI/UX设计师	1076
移动应用前端开发	1077
游戏前端开发	1078
游戏性能优化	1079
用户体验优化	1080
语法基础	1081
多线程编程	1082
数据库范式	1083
SQL查询语言	1084
索引优化	1085
数据库连接	1086
TCP/IP协议	1087
HTTP/HTTPS协议	1088
RESTful API设计	1089
Socket编程	1090
网络安全基础	1091
并发与同步	1092
Shell编程基础	1093
Web框架	1094
Spring	1095
Django	1096
MVC设计模式	1097
框架使用	1098
RESTful API开发	1099
微服务设计原则	1100
服务发现	1101
分布式事务	1102
容器话技术	1103
容器基础概念	1104
镜像制作	1105
集群管理	1106
自动化部署	1107
后端工程师	1108
设计、开发服务器端应用	1109
构建和维护云基础设施	1110
配置和管理云服务	1111
数据仓库建设	1112
云原生技术	1113
Serverless架构	1114
云原生安全	1115
微服务治理	1116
服务注册	1117
服务网格	1118
Infrastructure as Code (IaC)	1119
数据管理	1120
数据库操作	1121
数据存储结构	1122
数据清洗	1123
Hadoop框架	1124
Spark框架	1125
数据仓库	1126
ETL流程	1127
数据仓库建模	1128
数据质量	1129
数据质量评估与改进	1130
数据治理	1131
元数据管理	1132
数据治理框架	1133
元数据标准与管理	1134
云数据库与服务	1135
云数据库管理	1136
数据服务平台使用	1137
数据库性能调优	1138
数据库安全管理	1139
数据模型构建与分析	1140
商业智能应用	1141
大数据工程师	1142
大数据平台搭建	1143
大数据平台维护	1144
数据流处理	1145
实时分析	1146
预测性分析	1147
三维图形基础	1148
光照和着色	1149
计算机动画	1150
动画原理与技术	1151
关键帧动画	1152
游戏引擎设计与开发	1153
游戏引擎架构	1154
物理引擎原理	1155
多媒体技术	1156
图像合成	1157
音频处理	1158
音频编解码	1159
游戏引擎优化	1160
Unity	1161
Unreal	1162
游戏性能调优	1163
VR/AR应用开发	1164
头显设备	1165
手势交互	1166
人工智能与游戏	1167
游戏中的智能体设计	1168
游戏中的机器学习应用	1169
游戏用户界面设计原理	1170
游戏用户体验优化	1171
游戏逻辑	1172
游戏编程与测试	1173
特效	1174
物理引擎开发	1175
游戏AI	1176
游戏中智能体设计算法	1177
硬件开发	1178
数字电路与系统	1179
逻辑门	1180
触发器	1181
存储器	1182
寄存器	1183
微处理器体系结构	1184
嵌入式系统设计原理	1185
电子技术	1186
电源与稳压电路	1187
信号采样	1188
量化	1189
FFT	1190
数字滤波	1191
FPGA硬件描述语言	1192
Verilog编程	1193
VHDL编程	1194
FPGA开发流程与工具	1195
嵌入式系统软件开发	1196
嵌入式C语言编程	1197
操作系统嵌入式应用	1198
硬件设计工具与流程	1199
PCB设计软件使用	1200
硬件设计流程与验证	1201
人工智能硬件加速器	1202
量子计算机硬件	1203
芯片验证	1204
数字电路优化与创新	1205
嵌入式软硬件系统设计	1206
嵌入式系统性能优化	1207
硬件工程师	1208
PCB设计与验证	1209
设备硬件维护与升级	1210
移动开发	1211
布局管理	1212
多屏适配	1213
Activity生命周期	1214
Intent使用	1215
移动端数据库	1216
SQLite	1217
CRUD操作	1218
ORM框架使用	1219
移动应用测试	1220
UI自动化测试	1221
跨平台开发框架	1222
跨平台开发原理	1223
跨平台开发框架使用	1224
原生模块集成	1225
移动端前端框架	1226
移动后端	1227
云服务使用	1228
后端逻辑开发	1229
数据存储	1230
身份认证	1231
Android或iOS应用开发	1232
跨平台应用开发	1233
React Native	1234
Flutter	1235
维护跨平台应用的一致性	1236
移动端前端	1237
移动端Web应用开发	1238
云移动后端	1239
组合数学	1240
图的着色问题	1241
自动机与形式语言	1242
复杂性理论	1243
最优子结构	1244
状态转移方程	1245
背包问题	1246
调度问题	1247
近似算法	1248
随机化算法	1249
NP难问题的近似算法	1250
随机性在算法设计中的应用	1251
多核处理器上的并行算法	1252
分布式系统中的分布式算法	1253
量子计算理论	1254
量子比特	1255
量子门	1256
量子算法的基本原理	1257
算法在大规模数据上的应用	1258
代码性能优化技巧	1259
算法工程师	1260
高效算法的设计与实现	1261
大规模数据分析	1262
优化复杂问题的算法应用	1263
金融领域中的算法应用	1264
市场模型的设计与优化	1265
智能系统算法	1266
路由与交换	1267
数字签名	1268
密钥交换协议	1269
网络攻防技术	1270
漏洞扫描	1271
防火墙配置与管理	1272
安全政策制定	1273
安全事件响应	1274
合规性检查	1275
移动安全	1276
移动应用安全开发	1277
移动设备管理与安全性	1278
云平台安全架构	1279
数据合规性	1280
社交工程	1281
人工智能安全	1282
社交工程攻击与防范	1283
区块链原理	1284
智能合约	1285
网络安全工程师	1286
网络安全设备配置与维护	1287
网络流量分析	1288
入侵检测	1289
渗透测试工程师	1290
网络渗透测试	1291
应用漏洞分析	1292
社交工程测试	1293
模拟攻击	1294
安全顾问与管理	1295
安全策略制定与审核	1296
危机管理	1297
数字图像基础	1298
回归算法	1299
视觉感知与理解	1300
物体检测	1301
跟踪技术	1302
卷积神经网络（CNN）	1303
循环神经网络（RNN）	1304
长短时记忆网络（LSTM）	1305
三维计算机视觉	1306
立体视觉	1307
深度估计	1308
三维模型生成	1309
三维模型重建	1310
硬件加速	1311
GPU加速计算	1312
嵌入式计算平台的应用	1313
大规模图像数据处理	1314
查询优化	1315
实时计算	1316
系统集成	1317
实时计算框架	1318
系统集成与部署	1319
智能交通系统	1320
深度学习模型设计与优化	1321
神经网络应用开发	1322
三维视觉	1323
